Product_ID,Department,Product_Category,Price,Cost,Customer_Rating
F000000,Food,Frozen Foods,14.99,10.93,4.5
H000001,Health & Beauty,Hair Care,11.99,8.39,2.9
F000002,Food,Bakery,3.59,2.92,4.4
H000003,Household,Paper Products,4.84,4.35,3.6
H000004,Health & Beauty,Personal Care,18.29,12.57,3.5
F000005,Food,Frozen Foods,6.99,5.1,3.5
F000006,Food,Produce,9.99,7.96,3.4
F000007,Food,Canned Goods,7.59,5.95,4.7
F000008,Food,Dairy,3.06,2.66,4.6
F000009,Food,Beverages,6.99,5.27,3.7
H000010,Household,Cleaning Supplies,5.99,4.27,3.9
H000011,Health & Beauty,Cosmetics,7.49,4.73,4.8
F000012,Food,Beverages,2.44,2.14,4.7
F000013,Food,Beverages,13.99,10.95,4.0
F000014,Food,Snacks,7.99,6.09,4.0
F000015,Food,Produce,3.99,3.0,4.3
F000016,Food,Frozen Foods,4.99,3.61,5.0
H000017,Household,Kitchen Supplies,18.99,13.68,3.8
H000018,Household,Paper Products,5.99,4.35,4.5
F000019,Food,Dairy,13.86,12.71,4.2
F000020,Food,Meat,14.99,11.96,4.4
H000021,Household,Kitchen Supplies,23.99,16.33,4.4
H000022,Household,Home Decor,29.99,21.36,3.5
H000023,Household,Kitchen Supplies,16.35,14.59,4.2
H000024,Health & Beauty,Medications,4.29,2.7,3.5
F000025,Food,Canned Goods,6.42,5.82,3.6
H000026,Health & Beauty,Cosmetics,18.99,13.44,4.8
H000027,Household,Home Decor,24.99,18.35,2.8
F000028,Food,Dairy,10.38,12.61,3.8
H000029,Household,Home Decor,13.99,9.5,3.6
F000030,Food,Snacks,4.99,3.78,3.8
F000031,Food,Frozen Foods,7.99,6.12,5.0
E000032,Electronics/General,,23.99,18.2,4.0
F000033,Food,Meat,16.99,12.36,3.7
F000034,Food,Dairy,6.99,5.5,4.2
H000035,Health & Beauty,Medications,4.41,3.9,5.0
F000036,Food,Canned Goods,5.99,4.56,3.0
F000037,Food,Canned Goods,6.99,5.1,4.5
H000038,Household,Kitchen Supplies,17.99,13.45,2.6
H000039,Health & Beauty,Cosmetics,18.49,13.19,3.6
F000040,Food,Produce,7.79,5.64,4.4
H000041,Household,Cleaning Supplies,7.29,6.34,3.9
F000042,Food,Produce,3.29,2.57,4.4
F000043,Food,Canned Goods,8.99,6.44,4.0
F000044,Food,,9.77,9.07,4.8
F000045,Food,Produce,7.99,6.47,3.8
H000046,Household,Cleaning Supplies,3.99,2.67,4.5
F000047,Food,Bakery,7.79,6.32,4.2
F000048,Food,Frozen Foods,2.99,2.24,4.3
E000049,Electronics/General,Electronics,176.18,153.64,3.5
F000050,Food,Produce,3.49,2.52,4.1
H000051,Household,Cleaning Supplies,7.99,5.44,4.2
F000052,Food,Dairy,14.5,13.11,4.7
F000053,Food,Produce,11.99,9.85,3.8
F000054,Food,Produce,1.14,1.07,4.2
F000055,Food,Frozen Foods,1.99,1.49,4.2
F000056,Food,,2.99,2.19,3.4
F000057,Food,Meat,16.99,13.31,4.5
F000058,Food,Frozen Foods,7.79,5.78,4.2
H000059,Household,Paper Products,14.99,10.0,3.5
F000060,Food,Beverages,7.99,5.82,4.7
F000061,Food,Produce,13.49,10.16,5.0
H000062,Household,Paper Products,9.79,6.98,
F000063,Food,Produce,1.93,2.18,4.8
F000064,Food,Produce,0.71,0.77,4.4
H000065,Household,Cleaning Supplies,14.59,10.33,4.2
F000066,Food,Dairy,8.29,6.39,3.6
F000067,Food,Frozen Foods,9.99,7.18,3.3
F000068,Food,Canned Goods,7.99,5.88,4.0
F000069,Food,Produce,7.99,5.75,4.4
F000070,Food,,12.49,9.71,5.0
F000071,Food,Produce,2.99,2.35,4.5
F000072,Food,Frozen Foods,2.0,1.84,4.2
H000073,Health & Beauty,,28.99,18.74,3.6
F000074,Food,Beverages,12.79,10.27,4.1
H000075,Household,Laundry,24.49,17.12,4.7
F000076,Food,Dairy,8.49,7.47,5.0
H000077,Household,Home Decor,9.99,6.9,3.9
H000078,Health & Beauty,Personal Care,11.99,8.19,2.9
H000079,Health & Beauty,Hair Care,19.08,17.79,3.0
F000080,Food,Dairy,12.99,10.55,4.4
H000081,Household,Kitchen Supplies,12.99,9.02,4.7
F000082,Food,Dairy,2.99,2.3,5.0
F000083,Food,Meat,6.78,7.4,4.5
F000084,Food,Dairy,10.89,9.86,3.8
F000085,Food,Frozen Foods,3.47,3.14,4.0
F000086,Food,Canned Goods,9.99,7.68,5.0
F000087,Food,Snacks,9.99,8.0,4.0
F000088,Food,Produce,1.99,1.55,4.4
H000089,Household,Paper Products,21.29,14.58,4.1
H000090,Health & Beauty,Personal Care,22.29,14.11,3.1
H000091,Health & Beauty,Cosmetics,15.59,9.93,3.6
F000092,Food,Bakery,12.99,9.47,4.0
F000093,Food,,3.99,3.18,3.8
F000094,Food,Meat,12.99,9.67,3.8
H000095,Household,Home Decor,19.79,13.92,3.5
F000096,Food,Snacks,5.34,5.07,5.0
F000097,Food,Bakery,7.99,6.08,4.3
H000098,Health & Beauty,Personal Care,20.29,13.23,3.9
H000099,Household,Kitchen Supplies,5.99,4.49,3.6
F000100,Food,Snacks,10.49,8.26,4.1
F000101,Food,Frozen Foods,9.55,8.76,4.1
F000102,Food,Canned Goods,12.99,9.58,4.0
F000103,Food,Beverages,3.99,2.93,
F000104,Food,Dairy,12.84,11.78,4.1
F000105,Food,Canned Goods,9.49,7.0,4.9
F000106,Food,Bakery,9.49,7.83,4.1
F000107,Food,Canned Goods,12.99,10.07,4.5
H000108,Household,Kitchen Supplies,11.99,8.94,4.0
F000109,Food,Frozen Foods,2.47,2.24,4.1
F000110,Food,Produce,1.99,1.46,3.9
F000111,Food,Beverages,12.29,9.16,4.7
F000112,Food,Snacks,5.99,4.4,3.3
H000113,Household,Kitchen Supplies,14.99,10.27,4.4
H000114,Household,Kitchen Supplies,23.99,16.8,4.2
F000115,Food,Canned Goods,3.99,3.16,4.3
H000116,Household,Laundry,10.99,7.74,4.7
F000117,Food,Meat,16.99,12.7,4.7
H000118,Household,Kitchen Supplies,14.79,10.88,2.8
H000119,Health & Beauty,Hair Care,15.49,10.23,3.3
