Product_ID,Department,Product_Category,Price,Cost,Customer_Rating,Quantity_Sold,Inventory_Available,On_Promotion,Purchase_Method,Profit,Remaining_Inventory
F000000,Food,Frozen Foods,14.99,10.93,4.5,15,27,No,In-Store,60.900000000000006,12
H000001,Health & Beauty,Hair Care,11.99,8.39,2.9,6,16,No,Online,21.599999999999998,10
F000002,Food,Bakery,3.59,2.92,4.4,66,126,No,In-Store,44.22,60
H000003,Household,Paper Products,4.84,4.35,3.6,39,107,Yes,In-Store,19.110000000000007,68
H000004,Health & Beauty,Personal Care,18.29,12.57,3.5,6,11,No,In-Store,34.31999999999999,5
F000005,Food,Frozen Foods,6.99,5.1,3.5,11,15,No,In-Store,20.790000000000006,4
F000006,Food,Produce,9.99,7.96,3.4,20,25,No,In-Store,40.60000000000001,5
F000007,Food,Canned Goods,7.59,5.95,4.7,3,5,No,In-Store,4.919999999999999,2
F000008,Food,Dairy,3.06,2.66,4.6,488,753,Yes,Pickup,195.19999999999996,265
F000009,Food,Beverages,6.99,5.27,3.7,5,6,No,Online,8.600000000000003,1
H000010,Household,Cleaning Supplies,5.99,4.27,3.9,27,35,No,In-Store,46.44000000000002,8
H000011,Health & Beauty,Cosmetics,7.49,4.73,4.8,15,25,No,In-Store,41.4,10
F000012,Food,Beverages,2.44,2.14,4.7,59,93,Yes,In-Store,17.69999999999999,34
F000013,Food,Beverages,13.99,10.95,4.0,10,14,No,Pickup,30.40000000000001,4
F000014,Food,Snacks,7.99,6.09,4.0,6,11,No,In-Store,11.400000000000002,5
F000015,Food,Produce,3.99,3.0,4.3,49,95,No,In-Store,48.51000000000001,46
F000016,Food,Frozen Foods,4.99,3.61,5.0,39,60,No,In-Store,53.820000000000014,21
H000017,Household,Kitchen Supplies,18.99,13.68,3.8,11,18,No,Online,58.40999999999998,7
H000018,Household,Paper Products,5.99,4.35,4.5,42,105,No,In-Store,68.88000000000002,63
F000019,Food,Dairy,13.86,12.71,4.2,22,38,Yes,In-Store,25.29999999999997,16
F000020,Food,Meat,14.99,11.96,4.4,29,57,No,In-Store,87.86999999999998,28
H000021,Household,Kitchen Supplies,23.99,16.33,4.4,12,34,No,In-Store,91.92,22
